id;titre;desciption;isbn;code
1;navigating;Music Towels;Versatile;grow
2;service-desk global Fish;Intelligent;Wooden Antarc;parse
3;Metrics Guatemala;networks Awesome Rubber Chips;Gorgeous Froz;Mongolia 2
4;e-business overriding deposit;streamline British Indian Ocean Territory (Chagos Archipelago);Dominican Pes;deliverabl
5;copy;bandwidth;function;B2C
6;Liberian Dollar local reboot;indexing;application;Global Ran
7;RSS maroon;Producer;Money Market ;calculate
8;Future-proofed;Architect;Tuna Health;Global syn
9;New Hampshire Gateway;Division;Virtual sky b;port
10;plum;orchestrate;bifurcated;port
